,Roadway Name,From,To,day,LBoro,Segment ID,LZip,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
3906,State St,Bridge Street,Battery Pl,Weekday,1,22995,10004,272.15,165.1,103.2,79.05,73.7,121.65,211.05,333.65,439.25,475.75,421.75,416.65,409.55,393.35,388.9,409.3,377.2,385.9,359.3,333.15,309.5,311.25,472.35,385.3,7648.0
3907,State St,Bridge Street,Battery Pl,Weekend,1,22995,10004,206.75,204.0625,145.6875,116.125,93.0,95.75,147.5625,174.3125,202.625,252.25,297.625,328.6875,349.5,347.875,351.9375,365.9375,340.9375,344.5,325.8125,275.9375,257.0625,233.0,212.3125,192.0,5861.25
1221,Broadway,Beaver Street,Lexington Avenue Line,Weekday,1,23057,10004,105.8,77.8,43.2,43.4,51.8,80.8,110.4,117.0,127.2,125.6,120.8,120.4,104.6,105.8,102.2,106.8,94.0,104.2,107.4,135.2,147.4,134.2,129.4,128.0,2523.4
1222,Broadway,Beaver Street,Lexington Avenue Line,Weekend,1,23057,10004,112.5,100.0,85.75,65.5,34.5,43.0,35.25,98.0,98.0,89.0,116.25,131.5,100.75,103.5,140.5,122.0,121.75,110.0,114.75,114.5,153.75,110.0,101.0,74.75,2376.5
1223,Broadway,Beaver Street,Morris Street,Weekday,1,23057,10004,175.0,122.8,97.2,76.8,82.6,122.2,155.4,191.8,247.8,296.2,249.2,275.4,296.4,284.0,266.0,269.8,237.2,267.4,244.8,260.6,255.2,284.0,226.4,217.8,5202.0
1224,Broadway,Beaver Street,Morris Street,Weekend,1,23057,10004,196.5,136.0,118.25,99.0,69.25,81.75,90.25,117.25,142.25,157.75,165.0,191.75,197.25,189.0,197.75,198.25,182.0,174.25,202.5,184.5,174.0,207.0,195.25,180.75,3847.5
1315,Broadway  ,Beaver Street  ,Morris Street  ,Weekday,1,23057,10004,548.2,364.0,244.2,209.2,222.4,308.0,470.0,654.8,806.2,854.8,848.4,839.6,838.6,858.2,849.2,872.0,831.8,888.0,803.8,725.6,705.8,842.4,664.4,620.0,15869.6
1316,Broadway  ,Beaver Street  ,Morris Street  ,Weekend,1,23057,10004,511.75,381.25,338.5,302.0,229.0,215.25,260.25,332.5,508.0,656.5,663.75,608.75,781.0,777.25,734.25,686.0,601.25,542.0,573.75,519.0,536.0,576.5,492.0,421.75,12248.25
3993,Trinity Pl,Edger St,Rector Pl,Weekday,1,23061,10006,134.0,92.33333333333333,72.33333333333333,64.16666666666667,54.333333333333336,108.33333333333333,177.16666666666666,231.16666666666666,366.8333333333333,394.0,421.0,448.3333333333333,416.6666666666667,398.1666666666667,409.0,415.6666666666667,407.0,395.0,351.0,305.5,235.33333333333334,233.33333333333334,208.66666666666666,186.83333333333334,6526.166666666667
3994,Trinity Pl,Edger St,Rector Pl,Weekend,1,23061,10006,180.0,155.25,143.75,121.75,94.5,68.0,77.75,135.5,207.0,263.5,277.5,327.5,343.0,333.0,327.75,325.0,281.75,255.25,246.75,216.75,197.75,177.25,164.5,153.5,5074.25
2315,Fulton St,8 Avenue Line,8 Avenue Line,Weekday,1,23344,10038,164.8,81.8,66.8,40.6,38.4,65.0,84.4,109.0,172.8,206.0,175.0,179.8,132.8,120.0,174.6,195.4,208.8,232.0,210.0,190.0,164.8,198.0,174.2,175.2,3560.2
2316,Fulton St,8 Avenue Line,8 Avenue Line,Weekend,1,23344,10038,185.0,135.0,98.0,96.0,65.5,53.75,51.25,68.25,86.5,113.0,118.25,148.0,157.75,133.5,140.0,153.25,158.5,171.5,175.0,175.25,177.75,179.5,199.75,177.75,3218.0
2323,Fulton St,Dutch Street,Nassau Street,Weekday,1,23344,10038,115.4,74.8,53.0,45.2,42.0,56.4,87.8,130.8,171.2,210.4,207.4,174.6,163.0,165.0,163.8,174.6,155.6,156.8,146.8,132.2,148.4,135.8,143.2,142.6,3196.8
2324,Fulton St,Dutch Street,Nassau Street,Weekend,1,23344,10038,135.75,133.5,142.75,125.75,86.5,49.0,57.5,58.0,85.0,99.0,128.5,129.5,126.0,141.25,140.75,139.0,95.0,129.5,131.25,125.5,122.5,125.0,118.5,110.5,2735.5
