,Segment ID,day,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
0,1416,Weekday,5.0,37.4,19.5,10.4,11.6,30.7,79.0,174.3,328.7,318.0,214.5,234.6,252.8,272.7,295.2,360.8,371.8,375.6,401.5,360.3,292.6,228.2,167.0,108.7,74.8,5020.7
1,1416,Weekend,5.0,92.125,56.25,30.625,24.625,21.0,22.75,47.625,78.0,156.5,223.125,295.25,344.875,361.25,364.75,342.875,320.25,311.0,292.75,268.75,223.25,188.0,142.375,119.875,89.125,4417.0
2,1883,Weekday,5.0,37.0,20.916666666666668,12.916666666666666,6.583333333333333,24.333333333333332,66.25,168.83333333333334,387.8333333333333,306.25,206.91666666666666,209.33333333333334,223.33333333333334,262.5,282.1666666666667,362.9166666666667,376.9166666666667,384.3333333333333,375.25,363.1666666666667,293.25,227.5,168.5,115.25,86.75,4969.0
3,1883,Weekend,5.0,96.875,64.625,31.625,22.0,14.75,21.625,48.125,98.375,172.375,248.625,290.5,347.5,376.125,340.625,337.5,324.875,308.375,295.625,295.625,247.75,190.625,154.25,109.125,92.25,4529.75
4,2147,Weekday,5.0,52.388888888888886,31.72222222222222,21.333333333333332,17.77777777777778,34.27777777777778,82.11111111111111,208.83333333333334,453.6111111111111,381.77777777777777,257.6666666666667,255.77777777777777,279.8888888888889,301.94444444444446,321.05555555555554,429.27777777777777,458.77777777777777,433.27777777777777,440.0,417.27777777777777,357.6111111111111,264.8888888888889,174.38888888888889,120.77777777777777,77.22222222222223,5873.666666666667
5,2147,Weekend,5.0,79.375,52.75,29.125,21.375,16.25,27.0,47.5,92.375,152.625,195.0,333.25,371.875,378.625,376.5,336.5,335.75,298.875,304.875,282.5,248.375,199.5,159.25,115.75,88.375,4543.375
6,2153,Weekday,5.0,40.27777777777778,26.27777777777778,12.722222222222221,15.722222222222221,33.94444444444444,96.61111111111111,214.94444444444446,382.6111111111111,390.8333333333333,234.88888888888889,214.33333333333334,244.94444444444446,262.3888888888889,286.05555555555554,341.1666666666667,400.55555555555554,390.3333333333333,386.8888888888889,383.8888888888889,326.0,238.66666666666666,179.61111111111111,130.66666666666666,85.22222222222223,5319.555555555556
7,2153,Weekend,5.0,118.0,79.125,59.75,35.875,27.75,33.25,53.25,104.875,162.75,236.75,294.625,344.375,384.375,379.875,346.0,361.75,325.875,317.5,307.5,268.5,224.25,168.875,147.875,123.75,4906.5
8,2367,Weekday,5.0,54.8,32.0,28.7,28.7,81.9,217.7,344.9,438.2,476.1,375.5,351.8,361.0,380.1,391.5,433.1,450.1,462.9,500.1,461.8,385.3,291.7,204.4,146.5,98.2,6997.0
9,2367,Weekend,5.0,122.375,78.125,46.25,39.125,43.125,71.5,101.625,172.125,269.25,377.125,436.25,464.125,497.75,495.375,463.125,436.375,426.375,394.75,357.125,293.5,239.25,190.5,142.75,117.0,6274.875
10,2369,Weekday,5.0,55.05,38.5,31.55,30.6,74.9,214.75,319.7,420.2,474.2,367.75,340.8,342.1,366.45,377.35,418.15,443.8,440.25,444.25,420.25,374.05,267.55,178.8,130.05,89.8,6660.85
11,2369,Weekend,5.0,124.0,78.625,44.5,40.25,41.875,75.25,109.0,177.375,285.25,400.375,440.625,472.75,523.875,517.75,458.875,449.875,437.625,396.5,351.75,288.0,233.625,188.625,141.25,114.25,6391.875
12,2760,Weekday,5.0,17.0,9.7,7.3,8.2,19.2,57.8,101.8,246.2,187.5,122.3,119.0,132.8,133.1,156.4,222.4,194.4,185.5,183.5,195.3,140.4,107.0,78.6,51.7,35.6,2712.7
13,2760,Weekend,5.0,40.375,21.75,13.625,10.0,7.625,7.625,16.5,33.75,64.875,93.125,121.625,140.25,161.875,176.25,153.875,138.625,142.75,132.0,139.375,126.375,99.625,68.25,50.625,43.5,2004.25
