Segment ID,day,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
646,Weekday,NB,5.0,26.0,24.0,19.75,16.5,24.75,69.25,118.75,140.75,187.0,219.25,192.0,236.5,242.5,256.5,257.0,276.75,262.0,203.5,163.25,138.0,90.25,71.5,43.5,36.25,3315.5
646,Weekday,SB,5.0,30.5,26.75,18.25,16.25,28.0,34.5,75.75,127.75,178.5,203.75,209.75,235.75,258.25,285.75,270.25,311.0,319.5,248.25,202.75,167.25,99.5,72.5,42.5,33.5,3496.5
1416,Weekday,NB,5.0,43.2,23.0,11.0,11.8,32.0,92.2,130.2,245.8,293.0,196.8,230.6,253.6,273.0,299.8,397.8,384.6,396.4,440.8,389.0,320.8,256.4,184.4,122.8,83.8,5112.8
1416,Weekday,SB,5.0,31.6,16.0,9.8,11.4,29.4,65.8,218.4,411.6,343.0,232.2,238.6,252.0,272.4,290.6,323.8,359.0,354.8,362.2,331.6,264.4,200.0,149.6,94.6,65.8,4928.6
1416,Weekend,NB,5.0,98.0,56.75,32.75,26.25,23.25,25.25,47.5,76.25,133.25,206.75,280.75,361.5,365.0,370.0,362.75,347.0,347.25,312.0,307.25,246.5,201.0,166.5,128.25,95.5,4617.25
1416,Weekend,SB,5.0,86.25,55.75,28.5,23.0,18.75,20.25,47.75,79.75,179.75,239.5,309.75,328.25,357.5,359.5,323.0,293.5,274.75,273.5,230.25,200.0,175.0,118.25,111.5,82.75,4216.75
1421,Weekday,NB,5.0,56.25,30.25,21.25,18.75,26.25,65.25,142.0,257.5,364.75,203.0,207.0,255.25,290.75,308.5,367.25,424.75,406.75,444.75,374.25,326.5,196.0,156.25,92.75,56.75,5092.75
1421,Weekday,SB,5.0,51.25,30.25,22.25,19.25,24.0,44.75,161.0,373.5,342.0,223.0,232.25,263.25,283.5,279.75,337.0,376.0,384.0,376.0,358.25,304.75,171.25,124.0,83.0,66.75,4931.0
1883,Weekday,NB,5.0,46.166666666666664,27.833333333333332,14.5,7.5,19.333333333333332,54.0,112.0,278.0,297.5,192.66666666666666,193.66666666666666,235.33333333333334,262.0,287.6666666666667,414.1666666666667,439.8333333333333,442.5,432.8333333333333,422.6666666666667,342.1666666666667,269.5,202.5,127.66666666666667,101.16666666666667,5223.166666666667
1883,Weekday,SB,5.0,27.833333333333332,14.0,11.333333333333334,5.666666666666667,29.333333333333332,78.5,225.66666666666666,497.6666666666667,315.0,221.16666666666666,225.0,211.33333333333334,263.0,276.6666666666667,311.6666666666667,314.0,326.1666666666667,317.6666666666667,303.6666666666667,244.33333333333334,185.5,134.5,102.83333333333333,72.33333333333333,4714.833333333333
1883,Weekend,NB,5.0,119.0,79.25,38.5,26.25,15.25,21.5,37.75,84.25,143.25,219.25,275.0,360.0,397.25,363.25,368.5,363.5,343.5,334.0,334.0,278.25,233.0,190.25,128.25,108.0,4861.0
1883,Weekend,SB,5.0,74.75,50.0,24.75,17.75,14.25,21.75,58.5,112.5,201.5,278.0,306.0,335.0,355.0,318.0,306.5,286.25,273.25,257.25,257.25,217.25,148.25,118.25,90.0,76.5,4198.5
2147,Weekday,NB,5.0,52.22222222222222,34.22222222222222,20.77777777777778,16.22222222222222,34.111111111111114,82.88888888888889,170.77777777777777,455.0,386.22222222222223,250.33333333333334,243.88888888888889,293.0,313.55555555555554,321.77777777777777,445.6666666666667,485.3333333333333,438.55555555555554,474.22222222222223,436.8888888888889,363.44444444444446,286.55555555555554,183.77777777777777,128.66666666666666,80.55555555555556,5998.666666666667
2147,Weekday,SB,5.0,52.55555555555556,29.22222222222222,21.88888888888889,19.333333333333332,34.44444444444444,81.33333333333333,246.88888888888889,452.22222222222223,377.3333333333333,265.0,267.6666666666667,266.77777777777777,290.3333333333333,320.3333333333333,412.8888888888889,432.22222222222223,428.0,405.77777777777777,397.6666666666667,351.77777777777777,243.22222222222223,165.0,112.88888888888889,73.88888888888889,5748.666666666667
2147,Weekend,NB,5.0,72.5,46.5,29.25,17.75,16.75,28.0,46.5,82.5,142.5,189.0,329.75,376.5,386.75,382.25,346.5,356.75,311.25,312.75,288.75,260.5,219.25,166.75,123.0,84.0,4616.0
2147,Weekend,SB,5.0,86.25,59.0,29.0,25.0,15.75,26.0,48.5,102.25,162.75,201.0,336.75,367.25,370.5,370.75,326.5,314.75,286.5,297.0,276.25,236.25,179.75,151.75,108.5,92.75,4470.75
2153,Weekday,NB,5.0,37.44444444444444,31.11111111111111,15.555555555555555,16.77777777777778,33.111111111111114,103.55555555555556,186.0,386.0,484.77777777777777,273.1111111111111,253.22222222222223,288.77777777777777,305.3333333333333,337.8888888888889,351.44444444444446,438.3333333333333,425.1111111111111,430.8888888888889,427.6666666666667,372.1111111111111,268.6666666666667,210.33333333333334,158.33333333333334,92.44444444444444,5928.0
2153,Weekday,SB,5.0,43.111111111111114,21.444444444444443,9.88888888888889,14.666666666666666,34.77777777777778,89.66666666666667,243.88888888888889,379.22222222222223,296.8888888888889,196.66666666666666,175.44444444444446,201.11111111111111,219.44444444444446,234.22222222222223,330.8888888888889,362.77777777777777,355.55555555555554,342.8888888888889,340.1111111111111,279.8888888888889,208.66666666666666,148.88888888888889,103.0,78.0,4711.111111111111
2153,Weekend,NB,5.0,109.75,74.5,51.0,34.5,28.0,35.25,59.75,111.5,167.0,243.25,317.25,346.75,394.0,384.0,343.25,348.0,321.75,326.5,313.5,275.75,231.75,172.25,156.0,126.75,4972.0
2153,Weekend,SB,5.0,126.25,83.75,68.5,37.25,27.5,31.25,46.75,98.25,158.5,230.25,272.0,342.0,374.75,375.75,348.75,375.5,330.0,308.5,301.5,261.25,216.75,165.5,139.75,120.75,4841.0
2367,Weekday,EB,5.0,34.0,26.8,17.8,15.4,36.0,81.8,208.6,291.0,306.8,245.4,247.8,266.6,269.6,300.0,310.8,347.8,369.8,419.6,365.2,298.6,236.6,155.4,90.6,73.0,5015.0
2367,Weekday,WB,5.0,75.6,37.2,39.6,42.0,127.8,353.6,481.2,585.4,645.4,505.6,455.8,455.4,490.6,483.0,555.4,552.4,556.0,580.6,558.4,472.0,346.8,253.4,202.4,123.4,8979.0
2367,Weekend,EB,5.0,106.25,66.5,33.5,26.5,22.5,33.0,51.5,104.0,184.0,265.75,307.25,362.0,398.5,367.5,360.25,339.0,331.75,304.75,261.25,211.0,163.25,142.75,93.75,72.0,4608.5
2367,Weekend,WB,5.0,138.5,89.75,59.0,51.75,63.75,110.0,151.75,240.25,354.5,488.5,565.25,566.25,597.0,623.25,566.0,533.75,521.0,484.75,453.0,376.0,315.25,238.25,191.75,162.0,7941.25
2369,Weekday,EB,5.0,49.06666666666667,38.733333333333334,28.933333333333334,26.4,56.333333333333336,164.2,262.1333333333333,359.2,412.6666666666667,319.6666666666667,299.6666666666667,302.26666666666665,321.53333333333336,338.1333333333333,362.93333333333334,407.93333333333334,403.4,401.4,376.0,342.6,240.8,150.6,105.26666666666667,76.53333333333333,5846.4
2369,Weekday,WB,5.0,73.0,37.8,39.4,43.2,130.6,366.4,492.4,603.2,658.8,512.0,464.2,461.6,501.2,495.0,583.8,551.4,550.8,572.8,553.0,468.4,347.8,263.4,204.4,129.6,9104.2
2369,Weekend,EB,5.0,111.0,66.5,34.5,26.25,25.0,34.25,53.25,110.5,187.75,275.5,318.75,377.5,420.0,386.25,380.5,350.25,348.25,321.75,274.0,220.75,167.5,146.0,96.0,72.75,4804.75
2369,Weekend,WB,5.0,137.0,90.75,54.5,54.25,58.75,116.25,164.75,244.25,382.75,525.25,562.5,568.0,627.75,649.25,537.25,549.5,527.0,471.25,429.5,355.25,299.75,231.25,186.5,155.75,7979.0
2760,Weekday,EB,5.0,15.2,10.4,4.2,5.2,10.2,33.0,85.8,296.6,190.4,105.8,115.0,122.4,122.2,139.6,238.4,204.0,197.6,205.0,195.2,153.0,117.6,79.4,52.4,41.4,2740.0
2760,Weekday,WB,5.0,18.8,9.0,10.4,11.2,28.2,82.6,117.8,195.8,184.6,138.8,123.0,143.2,144.0,173.2,206.4,184.8,173.4,162.0,195.4,127.8,96.4,77.8,51.0,29.8,2685.4
2760,Weekend,EB,5.0,48.75,24.0,13.0,11.25,9.0,8.75,17.0,37.25,77.25,115.0,151.75,169.0,183.25,185.75,175.0,169.5,157.75,156.25,150.5,147.25,110.25,71.75,53.75,51.25,2294.25
2760,Weekend,WB,5.0,32.0,19.5,14.25,8.75,6.25,6.5,16.0,30.25,52.5,71.25,91.5,111.5,140.5,166.75,132.75,107.75,127.75,107.75,128.25,105.5,89.0,64.75,47.5,35.75,1714.25
2930,Weekday,EB,5.0,36.5,23.0,13.75,9.25,8.75,27.5,90.5,374.0,479.0,247.25,241.25,282.0,315.75,327.25,426.25,456.25,387.0,336.0,293.5,255.25,223.25,175.75,123.0,85.0,5237.0
2930,Weekday,WB,5.0,39.0,25.75,19.75,14.75,14.5,25.25,93.75,534.25,556.75,247.75,252.75,249.75,263.25,262.0,374.75,314.75,355.5,410.25,354.0,322.5,242.25,201.25,148.5,97.25,5420.25
2930,Weekend,EB,5.0,95.0,53.0,49.5,30.5,12.0,22.0,22.0,52.5,123.0,132.0,146.0,117.0,259.0,246.0,257.0,231.0,285.0,227.0,227.0,166.0,182.0,120.0,106.0,101.0,3425.0
2930,Weekend,WB,5.0,115.0,76.0,48.0,35.0,17.0,13.0,23.0,60.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0
2933,Weekday,EB,5.0,26.6,17.6,11.8,7.0,12.0,32.4,110.8,431.0,414.2,231.0,241.4,282.6,289.2,295.0,494.0,395.2,349.2,374.8,329.2,284.6,228.6,172.8,117.6,79.4,5228.0
2933,Weekday,WB,5.0,28.8,16.6,11.4,6.2,11.8,38.4,125.6,657.2,409.2,258.8,268.0,299.2,322.0,368.0,515.2,444.6,427.8,432.0,389.4,331.6,243.6,174.4,105.4,75.8,5961.0
2933,Weekend,EB,5.0,111.5,63.0,37.5,19.0,10.75,15.25,36.0,91.5,166.25,223.25,293.75,391.5,378.0,357.25,350.0,311.75,312.25,283.25,280.75,226.25,200.5,157.25,108.75,83.0,4508.25
2933,Weekend,WB,5.0,111.75,67.75,35.0,23.75,15.5,19.25,34.0,119.75,194.5,283.0,365.75,409.75,407.0,408.0,382.25,367.75,276.75,299.25,282.5,277.25,197.0,150.75,116.25,94.75,4939.25
2984,Weekday,SB,5.0,13.0,10.2,5.8,4.6,7.6,16.2,52.6,147.4,169.6,102.6,107.6,112.4,121.4,144.4,201.8,198.8,177.4,175.2,161.6,116.8,88.6,58.2,44.2,30.0,2268.0
2984,Weekday,WB,5.0,16.4,12.8,5.8,4.0,6.0,18.0,24.4,84.6,189.6,84.0,84.8,101.4,101.8,117.6,148.4,201.6,138.0,135.8,127.4,102.8,80.8,47.6,26.2,16.8,1876.6
2984,Weekend,SB,5.0,34.75,17.25,13.0,8.0,8.75,10.0,13.0,33.75,72.0,103.0,110.0,150.75,149.0,144.75,134.5,131.75,117.25,112.25,99.25,82.5,70.25,59.75,40.0,28.75,1744.25
3017,Weekday,NB,5.0,58.6,36.2,19.6,21.0,67.0,152.6,231.8,413.6,417.6,298.8,302.6,337.8,350.0,378.6,503.8,530.6,515.6,561.2,522.4,436.0,324.6,225.2,160.8,117.8,6983.8
